RefinedDistance,PosLocalX,PosLocalY,InverseRadius,RefinedPosLon,RefinedPosLat,TimeStamp,GPS_Speed,PosLat,PosLon,AccelForward,AccelLateral,DeviceAccelForward,DeviceAccelLateral,DeviceAccelVertical,AngleTrack,AngleRateZ,GPS_Height,GPS_PosAccuracy,RPM,Pedal_throttle,Pedal_brake,Steer_angle,Gear,CoolantT,OilT,Internal Batte,External Batte,TOYO_SPEED_VEH,TOYO_BRAKE_SW,TOYO_IAT,TOYO_MAP,TOYO_AAT,TOYO_BARO,TOYO_LAMBDA,TOYO_THROTTLE,TOYO_CAT1_T,TOYO_CLUCH_SW,TOYO_WHE_FL,TOYO_WHE_FR,TOYO_WHE_RL,TOYO_WHE_RR,GPS_Nsat,GPS_Slope,GPS_Elevation,PositionIndex,LapNo,timeDelta
5896.92300482,48.9305434393,11.7272359003,-0.000101082019105,126.41376119,34.7386509882,1.53262071618,133.424144774,34.7386509882,126.413761189,0.1350805,0.010452,-3.908563,3.2843985,-2.4169925,87.9505765,0.148646,0.0,2.4,7370.0,2.4999995,0.0,2.5,1.425,90.0,94.0,4.232,13.923,131.2350085,0.0,15.475,0.57525,15.0,1.01,0.932275,30.1000005,706.0,0.975,131.3174975,131.3425065,131.237511,131.285004,10.0,0.0635175,-2.935,49.5655212253,2,-0.0108165117922
5898.78516091,50.7914227518,11.7961814585,-0.000152608584565,126.413781532,34.7386516075,1.58262071618,133.625,34.7386516075,126.413781531,0.136801,0.009528,-3.955754,3.257325,-2.427441,87.962036,0.137187,0.0,2.4,7229.649902,4.99999900003,0.0,2.95,0.0,90.0,94.0,4.232,13.923,131.085007,0.0,15.0,0.418,15.0,1.01,1.0284,25.75,706.0,0.95,131.242493,131.380005,131.090012,131.179993,10.0,0.068961,-2.93,51.4271384133,2,-0.0105159657802
5900.65226413,52.6572654011,11.8647792436,-0.000182620328481,126.413801929,34.7386522237,1.63262071618,133.866781726,34.7386522237,126.413801928,0.1409755,0.0092415,-3.9429025,3.259026,-2.4356055,87.9734955,0.1268735,0.0,2.4,7002.199951,52.499992,0.0,2.475,0.0,90.0,94.0,4.232,13.923,131.142502,0.0,15.025,0.59425,15.0,1.01,1.2032,43.25,706.0,0.475,131.1937485,131.2125015,131.2000125,131.1875,10.0,0.0688175,-2.93,53.2935999241,2,-0.010277903856
5902.5242967,54.5280574355,11.9329194098,-0.000203437478906,126.413822379,34.7386528359,1.68262071618,134.125,34.7386528359,126.413822379,0.14515,0.008955,-3.930051,3.260727,-2.44377,87.984955,0.11656,0.0,2.4,6774.75,99.999985,0.0,2.0,0.0,90.0,94.0,4.232,13.923,131.199997,0.0,15.05,0.7705,15.0,1.01,1.378,60.75,706.0,0.0,131.145004,131.044998,131.310013,131.195007,10.0,0.068674,-2.93,55.165002962,2,-0.0101048460435
5904.40052057,56.403063903,12.0004972607,-0.000208389855467,126.413842876,34.7386534429,1.73262071618,134.371229071,34.7386534429,126.413842876,0.14993,0.009321,-3.861346,3.2924625,-2.442618,87.9967005,0.1280195,0.0,2.4,6307.425049,99.999985,0.0,2.025,0.0,90.0,94.0,4.232,13.923,134.8949965,0.0,15.525,0.871,15.0,1.01,1.367775,77.424999,706.0,0.0,131.5924985,131.4900055,135.0925065,134.845001,10.0,0.0658095,-2.93,57.0405741073,2,-0.009975142902
5906.28076065,58.28211034,12.0674843055,-0.000211180254219,126.413863417,34.7386540447,1.78262071618,134.630005,34.7386540447,126.413863417,0.15471,0.009687,-3.792641,3.324198,-2.441466,88.008446,0.139479,0.0,2.4,5840.100098,99.999985,0.0,2.05,0.0,90.0,94.0,4.232,13.923,138.589996,0.0,16.0,0.9715,15.0,1.01,1.35755,94.099998,706.0,0.0,132.039993,131.935013,138.875,138.494995,10.0,0.062945,-2.93,58.9201937643,2,-0.00988848955171
5908.16500771,60.1651877374,12.1338656018,-0.000221103458196,126.413884002,34.738654641,1.83262071618,134.925815866,34.738654641,126.413884002,0.159442,0.010978,-3.756735,3.342173,-2.4480615,88.025349,0.151511,0.0,2.4,5851.1501465,99.999985,0.0,2.525,0.0,90.0,94.0,4.232,13.923,136.635002,0.0,16.0,0.98575,15.0,1.01,1.159725,95.0750005,706.0,0.0,132.4349975,132.282509,136.7750015,136.590004,10.0,0.059937,-2.93,60.803743643,2,-0.0098174358123
5910.053353,62.0523884155,12.199604195,-0.000229350075625,126.413904632,34.7386552315,1.88262071618,135.229996,34.7386552315,126.413904632,0.164174,0.012269,-3.720829,3.360148,-2.454657,88.042252,0.163543,0.0,2.4,5862.200195,99.999985,0.0,3.0,0.0,90.0,94.0,4.232,13.923,134.680008,0.0,16.0,1.0,15.0,1.01,0.9619,96.050003,706.0,0.0,132.830002,132.630005,134.675003,134.685013,10.0,0.056929,-2.93,62.6913612266,2,-0.00974228733987
5911.94587187,63.9437885223,12.2646680322,-0.000224333034479,126.413925308,34.738655816,1.93262071618,135.51863484,34.738655816,126.413925308,0.1679185,0.013878,-3.7433325,3.350424,-2.4660975,88.0539935,0.187034,0.0,2.4,5874.2751465,99.999985,0.0,3.0,0.0,90.0,94.0,4.232,13.923,135.4575045,0.0,16.0,1.0,15.0,1.01,0.89445,96.5,706.0,0.0,133.1275025,132.9300005,135.4100035,135.505005,10.0,0.051199,-2.93,64.5831664044,2,-0.00969383945254
5913.84247517,65.8392981864,12.3290666804,-0.000222094428995,126.413946029,34.7386563945,1.98262071618,135.839996,34.7386563945,126.413946029,0.171663,0.015487,-3.765836,3.3407,-2.477538,88.065735,0.210525,0.0,2.3995,5886.350098,99.999985,0.0,3.0,0.0,90.0,94.0,4.232,13.923,136.235001,0.0,16.0,1.0,15.0,1.01,0.827,96.949997,706.0,0.0,133.425003,133.229996,136.145004,136.324997,10.0,0.045469,-2.93,66.4790041891,2,-0.00969787517821
